car,phase,value,segment
大众-迈腾,后期考虑的车型,23,segment4
宝马-3系/320Li,后期考虑的车型,14,segment4
大众-帕萨特,后期考虑的车型,24,segment4
日产-天籁,后期考虑的车型,24,segment4
奥迪-A4/A4L,后期考虑的车型,19,segment4
别克-君威,后期考虑的车型,8,segment4
大众-CC,后期考虑的车型,8,segment4
奔驰-C级,后期考虑的车型,10,segment4
本田-雅阁,后期考虑的车型,21,segment5
丰田-凯美瑞,后期考虑的车型,15,segment5
大众-迈腾,后期考虑的车型,32,segment5
宝马-3系/320Li,后期考虑的车型,6,segment5
大众-帕萨特,后期考虑的车型,24,segment5
日产-天籁,后期考虑的车型,20,segment5
奥迪-A4/A4L,后期考虑的车型,23,segment5
别克-君威,后期考虑的车型,19,segment5
大众-CC,后期考虑的车型,11,segment5
奔驰-C级,后期考虑的车型,14,segment5
本田-雅阁,后期考虑的车型,22,total
丰田-凯美瑞,后期考虑的车型,23,total
大众-迈腾,后期考虑的车型,26,total
宝马-3系/320Li,后期考虑的车型,14,total
大众-帕萨特,后期考虑的车型,20,total
日产-天籁,后期考虑的车型,19,total
奥迪-A4/A4L,后期考虑的车型,19,total
别克-君威,后期考虑的车型,11,total
大众-CC,后期考虑的车型,8,total
奔驰-C级,后期考虑的车型,12,total
